Name,Firm Name,Ticker,SecId,Inception Date,Morningstar Category,US Category Group,Share Class Type,Oldest Share Class,Inception Date of Fund's Oldest Share Class,Ticker of Fund's Oldest Share Class,Index Fund,Obsolete Date,Obsolete Type,Merged Into Security,Research Flagship Fund Name,Net Assets - Share Class (mo-end) USD,Fund Size Comprehensive (mo-end) USD,Total Ret % Rank Cat 3Y mo-end (mo-end),Morningstar Rating 3Y (mo-end),Morningstar Sustainability Rating (mo-end),Morningstar Analyst Rating (day-end),Morningstar Category Primary Benchmark,Total Return (3Y - mo-end),Alpha Total (excess return) (3Y - mo-end) Cat Curr,Beta Total (excess return) (3Y - mo-end) Cat Curr,Standard Deviation Total (3Y - mo-end) Cat Curr,Sharpe Ratio Total Morningstar (3Y - mo-end) Cat Curr
Nations VA Municipal Bond Inv A,Nations Fund Trust,,FOUSA00CJN,19931108,Muni Single State Interm,Municipal Bond,A,No,19931021,,No,20020513,Merged,Columbia AMT-Free VA Interm MuniBd A,,"1,498,201.0000000000","32,893,833.0000000000",,,,,BBgBarc Municipal TR USD,,,,,
Nations VA Municipal Bond Inv B,Nations Fund Trust,,FOUSA00FV1,19931021,Muni Single State Interm,Municipal Bond,N,Yes,19931021,,No,20020513,Merged,Columbia AMT-Free VA Interm Muni Bd B,,"8,962,167.0000000000","32,893,833.0000000000",,,,,BBgBarc Municipal TR USD,,,,,
Nations VA Municipal Bond Inv C,Nations Fund Trust,,FOUSA00E83,19941103,Muni Single State Interm,Municipal Bond,C,No,19931021,,No,20020513,Merged,Columbia AMT-Free VA Interm MuniBd C,,"55,786.0000000000","32,893,833.0000000000",,,,,BBgBarc Municipal TR USD,,,,,
Nations VA Municipal Bond Prim A,Nations Fund Trust,,FOUSA00D2U,19940111,Muni Single State Interm,Municipal Bond,A,No,19931021,,No,20020513,Merged,Columbia AMT-Free VA Interm MuniBd Inst,,"22,377,679.0000000000","32,893,833.0000000000",,,,,BBgBarc Municipal TR USD,,,,,
Nations VA Municipal Bond Prim B,Nations Fund Trust,,FOUSA00FKB,19960401,Muni Single State Interm,Municipal Bond,B,No,19931021,,No,20020513,Merged,Nations VA Interm Muni Bond Prim B,,,"32,893,833.0000000000",,,,,BBgBarc Municipal TR USD,,,,,
UBS U.S. Equity,UBS Asset Management,,FOUSA00DYN,19950731,Large Blend,U.S. Equity,Other,No,19940222,BPEQX,No,20011105,Merged,,,"5,660,417.0000000000","32,882,850.1000000000",,,,,S&P 500 TR USD,,,,,
Bear Stearns Balanced A,Dreyfus,,FOUSA00HOR,19980102,Allocation--50% to 70% Equity,Allocation,,No,19980102,,No,20020628,Liquidated,,,"5,021,082.0000000000","32,870,015.0000000000",,,,,Morningstar Mod Tgt Risk TR USD,,,,,
Bear Stearns Balanced B,Dreyfus,,FOUSA00K83,19980102,Allocation--50% to 70% Equity,Allocation,,No,19980102,,No,20020628,Liquidated,,,"4,953,543.0000000000","32,870,015.0000000000",,,,,Morningstar Mod Tgt Risk TR USD,,,,,
Bear Stearns Balanced C,Dreyfus,,FOUSA00I3R,19980102,Allocation--50% to 70% Equity,Allocation,,No,19980102,,No,20020701,Liquidated,,,"1,908,545.0000000000","32,870,015.0000000000",,,,,Morningstar Mod Tgt Risk TR USD,,,,,
Bear Stearns Balanced Y,Dreyfus,,FOUSA00HIS,19980102,Allocation--50% to 70% Equity,Allocation,,Yes,19980102,,No,20020701,Liquidated,,,"20,986,845.0000000000","32,870,015.0000000000",,,,,Morningstar Mod Tgt Risk TR USD,,,,,
Golden Oak Small Cap Value A,Golden Oak Family of Funds,,FOUSA00KVW,19990901,Small Value,U.S. Equity,A,No,19990901,,No,20040930,Merged,Goldman Sachs Small Cap Value A,,"6,876,228.0000000000","32,841,245.0000000000",,,,,S&P 500 TR USD,,,,,
Golden Oak Small Cap Value Instl,Golden Oak Family of Funds,,FOUSA00H1I,19990901,Small Value,U.S. Equity,Inst,Yes,19990901,,No,20040930,Merged,Goldman Sachs Small Cap Value Instl,,"25,965,017.0000000000","32,841,245.0000000000",,,,,S&P 500 TR USD,,,,,
T. Rowe Price VA Short-Term T/F Bond,North American Income Fund PLC,,FOUSA00NG8,19941130,Muni National Short,Municipal Bond,,Yes,19941130,,No,20001101,Merged,T. Rowe Price Tax-Free Shrt-Interm,,"32,827,320.0000000000","32,827,320.0000000000",,,,,BBgBarc Municipal TR USD,,,,,
Heritage Value Equity A,Carillon Family of Funds,,FOUSA00CAO,19941230,Large Value,U.S. Equity,A,Yes,19941230,,No,20051223,Merged,Carillon Eagle Growth & Income A,,"12,772,351.0000000000","32,821,864.0000000000",,2 Stars,,,S&P 500 TR USD,,,,,
Heritage Value Equity B,Carillon Family of Funds,,FOUSA00JFM,19980102,Large Value,U.S. Equity,B,No,19941230,,No,20051223,Merged,Heritage Growth and Income B,,"3,365,117.0000000000","32,821,864.0000000000",,2 Stars,,,S&P 500 TR USD,,,,,
Heritage Value Equity C,Carillon Family of Funds,,FOUSA00CFW,19950403,Large Value,U.S. Equity,C,No,19941230,,No,20051223,Merged,Carillon Eagle Growth & Income C,,"16,684,396.0000000000","32,821,864.0000000000",,2 Stars,,,S&P 500 TR USD,,,,,
Pacifica Asset Preservation Inv,,,FOUSA00N7H,19900702,Ultrashort Bond,Taxable Bond,Retirement,Yes,19900702,,No,19960906,Merged,,,"11,026,711.0000000000","32,812,854.0000000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Shearson Precious Metals,,,FOUSA00MMU,19850304,Equity Precious Metals,Sector Equity,,No,,,No,19921120,Merged,Smith Barney Natural Resources B,,"32,744,823.0000000000","32,744,823.0000000000",,,,,MSCI ACWI NR USD,,,,,
BlackRock DE Municipal Svc,BlackRock,,FOUSA00ISO,19980508,Muni Single State Interm,Municipal Bond,S,Yes,19980508,,No,20040614,Liquidated,,,15.0000000000,"32,736,802.0000000000",,,,,BBgBarc Municipal TR USD,,,,,
BlackRock DE Municipal Svc,BlackRock,,FOUSA05KRN,19980511,Muni Single State Interm,Municipal Bond,S,No,19980508,,No,20071227,Junk,,,,"32,736,802.0000000000",,,,,BBgBarc Municipal TR USD,,,,,
Alliance Convertible,AllianceBernstein,,FOUSA00P8Z,19860129,Convertibles,Allocation,,Yes,19860129,,No,19910510,Merged,AB Relative Value A,,"32,726,619.0000000000","32,726,619.0000000000",,,,,Morningstar Mod Tgt Risk TR USD,,,,,
Montgomery Balanced P,Wells Fargo,,FOUSA00KEJ,19960102,Allocation--30% to 50% Equity,Allocation,Other,No,19940331,,No,20020617,Liquidated,,,"44,523.0000000000","32,668,309.0000000000",,,,,Morningstar Mod Tgt Risk TR USD,,,,,
Montgomery Balanced R,Wells Fargo,,FOUSA00CKY,19940331,Allocation--30% to 50% Equity,Allocation,Retirement,Yes,19940331,,No,20020617,Liquidated,,,"32,623,786.0000000000","32,668,309.0000000000",,,,,Morningstar Mod Tgt Risk TR USD,,,,,
Fifth Third Equity Index Adv,Fifth Third,,FOUSA02TVT,20011029,Large Blend,U.S. Equity,Adv,No,19921102,KNIEX,Yes,20071127,Merged,Fifth Third Equity Index A,,"1,893,909.0000000000","32,587,963.0000000000",,2 Stars,,,S&P 500 TR USD,,,,,
American Century FL Municipal Bd A,American Century Investments,,FOUSA056L9,20040227,Muni Single State Interm,Municipal Bond,A,No,19940411,,No,20070831,Merged,American Century IntermTrm Tx-Fr Bd Inv,,"890,134.0000000000","32,581,919.0000000000",,1 Star,,,BBgBarc Municipal TR USD,,,,,
American Century FL Municipal Bd B,American Century Investments,,FOUSA056LA,20040227,Muni Single State Interm,Municipal Bond,B,No,19940411,,No,20070831,Merged,American Century IntermTrm Tx-Fr Bd Inv,,"9,711.0000000000","32,581,919.0000000000",,1 Star,,,BBgBarc Municipal TR USD,,,,,
American Century FL Municipal Bd C,American Century Investments,,FOUSA056LB,20040227,Muni Single State Interm,Municipal Bond,C,No,19940411,,No,20070831,Merged,American Century IntermTrm Tx-Fr Bd Inv,,"962,661.0000000000","32,581,919.0000000000",,1 Star,,,BBgBarc Municipal TR USD,,,,,
American Century FL Municipal Bd Inv,American Century Investments,,FOUSA00EXZ,19940411,Muni Single State Interm,Municipal Bond,Inv,Yes,19940411,,No,20070831,Merged,American Century IntermTrm Tx-Fr Bd Inv,,"30,719,413.0000000000","32,581,919.0000000000",,3 Stars,,,BBgBarc Municipal TR USD,,,,,
Harris Insight Intermediate Govt B,Virtus,,FOUSA02T6V,20010530,Intermediate Government,Taxable Bond,B,No,19970321,,No,20041203,Merged,Virtus Intermediate Govt Bond A,,"851,784.0000000000","32,579,126.0000000000",,,,,BBgBarc US Agg Bond TR USD,," -2.1540000000",1.0320000000,,
Virtus Intermediate Govt Bond N,Virtus,,FOUSA00K8X,19970321,Intermediate Government,Taxable Bond,N,Yes,19970321,,No,20060626,Merged,Virtus Intermediate Govt Bond A,,"4,143,465.0000000000","32,579,126.0000000000",,3 Stars,,,BBgBarc US Agg Bond TR USD,," -0.6200000000",0.9100000000,,
Flag Investors Quality Growth,,,FOUSA00MG8,19890801,Large Growth,U.S. Equity,,No,,,No,19950511,Merged,DWS Equity Partners A,,"32,553,636.0000000000","32,553,636.0000000000",,,,,S&P 500 TR USD,,,,,
Smith Barney Natural Resources A,Touchstone,,FOUSA00F5P,19861124,Natural Resources,Sector Equity,,Yes,19861124,,No,20001211,Merged,ClearBridge All Cap Value A,,"15,894,239.0000000000","32,495,476.0000000000",,,,,MSCI ACWI NR USD,,,,,
Smith Barney Natural Resources B,Touchstone,,FOUSA00F4L,19921106,Natural Resources,Sector Equity,,No,19861124,,No,20001211,Merged,ClearBridge All Cap Value B,,"14,237,777.0000000000","32,495,476.0000000000",,,,,MSCI ACWI NR USD,,,,,
Smith Barney Natural Resources L,Touchstone,,FOUSA00CWI,19941107,Natural Resources,Sector Equity,,No,19861124,,No,20001211,Merged,ClearBridge All Cap Value C,,"2,363,460.0000000000","32,495,476.0000000000",,,,,MSCI ACWI NR USD,,,,,
IBJ Core Equity Prem,Atlantic Whitehall Funds Trust,,FOUSA00N3D,19950201,Large Growth,U.S. Equity,Other,No,19950201,WHGFX,No,20000222,Liquidated,,,"27,084.0000000000","32,443,012.0000000000",,,,,S&P 500 TR USD,,,,,
Commerce Balanced Instl,Commerce,,FOUSA00B41,19941212,Allocation--50% to 70% Equity,Allocation,Inst,Yes,19941212,,No,20021031,Liquidated,,,"31,352,270.0000000000","32,391,286.0000000000",,,,,Morningstar Mod Tgt Risk TR USD,,,,,
Commerce Balanced Service,Commerce,,FOUSA00JDK,19970102,Allocation--50% to 70% Equity,Allocation,Inst,No,19941212,,No,20021031,Liquidated,,,"1,039,016.0000000000","32,391,286.0000000000",,,,,Morningstar Mod Tgt Risk TR USD,,,,,
Columbia Tax-Managed Growth II A,Columbia,,FOUSA007OB,20000313,Large Growth,U.S. Equity,A,No,20000307,,No,20051010,Merged,Columbia Tax-Managed Growth I A,,"5,869,705.0000000000","32,324,717.0000000000",,2 Stars,,,S&P 500 TR USD,,,,,
Columbia Tax-Managed Growth II B,Columbia,,FOUSA008U8,20000313,Large Growth,U.S. Equity,B,No,20000307,,No,20051010,Merged,Columbia Tax-Managed Growth I B,,"21,454,032.0000000000","32,324,717.0000000000",,2 Stars,,,S&P 500 TR USD,,,,,
Columbia Tax-Managed Growth II C,Columbia,,FOUSA005ZO,20000313,Large Growth,U.S. Equity,C,No,20000307,,No,20051010,Merged,Columbia Tax-Managed Growth I C,,"4,409,990.0000000000","32,324,717.0000000000",,3 Stars,,,S&P 500 TR USD,,,,,
Columbia Tax-Managed Growth II Z,Columbia,,FOUSA008NK,20000307,Large Growth,U.S. Equity,Inst,Yes,20000307,,No,20051010,Merged,Columbia Tax-Managed Growth I Z,,"590,990.0000000000","32,324,717.0000000000",,3 Stars,,,S&P 500 TR USD,,,,,
Stein Roe Focus,Columbia,,FOUSA00J6F,19980626,Large Growth,U.S. Equity,,Yes,19980626,,No,20020712,Merged,Columbia Growth Stock Z,,"32,296,999.0000000000","32,296,999.0000000000",,,,,S&P 500 TR USD,,,,,
MassMutual U.S. Government Securities,OppenheimerFunds,,FOUSA00MWW,19880415,Intermediate Government,Taxable Bond,,Yes,19880415,,No,19910327,Merged,Oppenheimer Limited-Term Bond A,,"32,255,265.0000000000","32,255,265.0000000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Dunham Short-Term Bond A,Dunham Funds,DASTX,FOUSA05XKV,20070104,Short-Term Bond,Taxable Bond,A,No,20041213,DNSTX,No,20070801,Liquidated,,,"17,890.0000000000","32,185,856.0000000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Dunham Short-Term Bond C,Dunham Funds,DCSTX,FOUSA05BXU,20041213,Short-Term Bond,Taxable Bond,C,No,20041213,DNSTX,No,20070815,Liquidated,,,"7,776,067.0000000000","32,185,856.0000000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Dunham Short-Term Bond N,Dunham Funds,DNSTX,FOUSA05BXT,20041213,Short-Term Bond,Taxable Bond,N,Yes,20041213,DNSTX,No,20070717,Liquidated,,,"24,391,899.0000000000","32,185,856.0000000000",,,,,BBgBarc US Agg Bond TR USD,,,,,
Delaware Tax-Free IA A,Macquarie Investment Management,,FOUSA00B63,19930901,Muni Single State Interm,Municipal Bond,,Yes,19930901,,No,20010827,Merged,Delaware Tax-Free USA A,,"32,141,702.0000000000","32,141,702.0000000000",,,,,BBgBarc Municipal TR USD,,,,,
SEI Index Bond Index A,SEI,BIPFX,FOUSA00F1S,19860519,Intermediate Core Bond,Taxable Bond,A,Yes,19860519,BIPFX,Yes,20060929,Liquidated,,,"32,088,313.0000000000","32,088,313.0000000000",,3 Stars,,,BBgBarc US Agg Bond TR USD,," -0.4290000000",1.0040000000,,
