Name,Firm Name,Ticker,SecId,Inception Date,Morningstar Category,US Category Group,Share Class Type,Oldest Share Class,Inception Date of Fund's Oldest Share Class,Ticker of Fund's Oldest Share Class,Index Fund,Obsolete Date,Obsolete Type,Merged Into Security,Research Flagship Fund Name,Net Assets - Share Class (mo-end) USD,Fund Size Comprehensive (mo-end) USD,Total Ret % Rank Cat 3Y mo-end (mo-end),Morningstar Rating 3Y (mo-end),Morningstar Sustainability Rating (mo-end),Morningstar Analyst Rating (day-end),Morningstar Category Primary Benchmark,Total Return (3Y - mo-end),Alpha Total (excess return) (3Y - mo-end) Cat Curr,Beta Total (excess return) (3Y - mo-end) Cat Curr,Standard Deviation Total (3Y - mo-end) Cat Curr,Sharpe Ratio Total Morningstar (3Y - mo-end) Cat Curr
Fidelity Advisor® Dividend Growth B,Fidelity Investments,,FOUSA00HW2,19981228,Large Value,U.S. Equity,B,No,19981228,FDGIX,No,20160624,Merged,Fidelity Advisor® Dividend Growth A,,"4,414,992.0000000000","1,037,928,345.7400000000",76,2 Stars,,,S&P 500 TR USD,," -2.8490000000",0.9880000000,,
Goldman Sachs US Equity Insights B,Goldman Sachs,GSSBX,FOUSA00IXV,19960501,Large Blend,U.S. Equity,B,No,19910524,GSESX,No,20141114,Merged,Goldman Sachs US Equity Insights A,,"5,340,385.0000000000","1,033,329,455.9900000000",36,3 Stars,,,S&P 500 TR USD,,,,,
Putnam NY Tax Exempt Income M,Putnam,,FOUSA00FCG,19950410,Muni New York Long,Municipal Bond,M,No,19830902,PTEIX,No,20191125,Merged,Putnam NY Tax Exempt Income A,,"1,254,900.0300000000","1,033,111,577.2800000000",70,2 Stars,,,BBgBarc Municipal TR USD,2.8620580000," -0.6040000000",0.9320000000,3.2710000000,0.3830000000
Eaton Vance Worldwide Health Sci B,Eaton Vance,,FOUSA00KT2,19960923,Health,Sector Equity,B,No,19850726,ETHSX,No,20190815,Merged,Eaton Vance Worldwide Health Sci A,Eaton Vance Worldwide Health Sci A,"606,853.0000000000","1,030,906,353.0000000000",75,3 Stars,Above Average,Neutral,MSCI ACWI NR USD,5.7207470000," -2.8160000000",0.8830000000,13.6510000000,0.3650000000
Davis Financial B,Davis Funds,,FOUSA00C0F,19941227,Financial,Sector Equity,B,No,19910501,RPFGX,No,20170831,Merged,Davis Financial A,,"1,476,891.0000000000","1,029,002,080.1300000000",56,3 Stars,,,MSCI ACWI NR USD,,,,,
Columbia US Treasury Index B,Columbia,,FOUSA02VQ6,20021125,Intermediate Government,Taxable Bond,B,No,19910604,IUTIX,Yes,20170804,Liquidated,,,"9,953.0000000000","1,028,825,297.7400000000",78,2 Stars,,,BBgBarc US Agg Bond TR USD,," -2.0060000000",1.1300000000,,
Columbia US Treasury Index I,Columbia,,F00000JTOV,20100927,Intermediate Government,Taxable Bond,Inst,No,19910604,IUTIX,Yes,20170327,Merged,Columbia US Treasury Index Inst3,,"264,744,589.0000000000","1,028,825,297.7400000000",45,3 Stars,,,BBgBarc US Agg Bond TR USD,," -1.1730000000",1.1190000000,,
Columbia US Treasury Index T,Columbia,CTIWX,F00000OE7A,20120618,Intermediate Government,Taxable Bond,T,No,19910604,IUTIX,Yes,20181214,Merged,Columbia US Treasury Index A,,"553,588.7300000000","1,028,825,297.7400000000",80,2 Stars,,,BBgBarc US Agg Bond TR USD,," -1.1280000000",1.0960000000,,
Oppenheimer Mid Cap Value B,Invesco,QSCBX,FOUSA00EYA,19930901,Mid-Cap Value,U.S. Equity,B,No,19890103,QVSCX,No,20180601,Merged,Oppenheimer Mid Cap Value A,,"410,441.7400000000","1,027,367,998.1500000000",74,2 Stars,,,S&P 500 TR USD,,,,,
Oppenheimer Rochester Shrt Dur HY Muni B,Invesco,OIMBX,FOUSA00BLQ,19950911,High Yield Muni,Municipal Bond,B,No,19861111,OPITX,No,20180601,Merged,Oppenheimer Rochester Shrt Dur HY Muni A,,"198,786.6500000000","1,025,416,611.6300000000",100,1 Star,,,BBgBarc Municipal TR USD,,,,,
Putnam Global Equity M,Putnam,,FOUSA00BQZ,19950703,World Large Stock,International Equity,M,No,19940701,PEQUX,No,20191125,Merged,Putnam Global Equity A,,"11,226,990.5700000000","1,025,195,634.1600000000",51,3 Stars,Below Average,,MSCI ACWI Ex USA NR USD,10.3255920000,2.4790000000,0.9480000000,11.8400000000,0.7510000000
Putnam Global Equity R5,Putnam,,F00000OLKV,20120702,World Large Stock,International Equity,Retirement,No,19940701,PEQUX,No,20160201,Liquidated,,,"13,896.0000000000","1,025,195,634.1600000000",37,3 Stars,,,MSCI ACWI Ex USA NR USD,,,,,
Wells Fargo Advantage Large Cap Gr Inv,Wells Fargo Funds,,FOUSA00FDV,19811230,Large Growth,U.S. Equity,Inv,No,20100730,STNFX,No,20151023,Merged,Wells Fargo Large Cap Growth A,,"437,449,138.0000000000","1,022,729,891.7800000000",64,3 Stars,,,S&P 500 TR USD,,,,,
Fidelity Advisor® Large Cap B,Fidelity Investments,,FOUSA00K7V,19960220,Large Blend,U.S. Equity,B,No,19960220,FALIX,No,20160624,Merged,Fidelity Advisor® Large Cap A,,"3,053,728.0000000000","1,016,190,046.1900000000",73,2 Stars,,,S&P 500 TR USD,,,,,
Schroder North American Equity Adv,Schroder,,FOUSA05H9U,20060331,Large Blend,U.S. Equity,Adv,No,20030917,SNAEX,No,20161220,Liquidated,,,"159,957.0000000000","1,015,653,016.7000000000",38,3 Stars,,,S&P 500 TR USD,,,,,
BlackRock Large Cap Focus Growth Inv B,BlackRock,MBLHX,FOUSA00L39,19991222,Large Growth,U.S. Equity,B,No,19000102,,No,20171227,Merged,BlackRock Large Cap Focus Growth Inv A,,,"1,012,212,503.2500000000",43,3 Stars,,,S&P 500 TR USD,,,,,
BlackRock Large Cap Focus Grth Instl,BlackRock,,FOUSA00JZQ,19991222,Large Growth,U.S. Equity,Inst,No,19000102,,No,20191206,Merged,BlackRock Large Cap Focus Growth Instl,,"354,405,633.9900000000","1,012,212,503.2500000000",17,4 Stars,Average,,S&P 500 TR USD,20.8126170000,4.4480000000,1.0720000000,14.3270000000,1.2800000000
BlackRock Large Cap Focus Grth Inv A,BlackRock,,FOUSA00IQ4,19991222,Large Growth,U.S. Equity,A,No,19000102,,No,20191206,Merged,BlackRock Large Cap Focus Growth Inv A,,"530,406,073.8100000000","1,012,212,503.2500000000",20,4 Stars,Average,,S&P 500 TR USD,20.4703650000,4.1630000000,1.0720000000,14.3180000000,1.2610000000
BlackRock Large Cap Focus Grth Inv C,BlackRock,,FOUSA00HA5,19991222,Large Growth,U.S. Equity,C,No,19000102,,No,20191206,Merged,BlackRock Large Cap Focus Growth Inv C,,"104,590,869.4600000000","1,012,212,503.2500000000",28,4 Stars,Average,,S&P 500 TR USD,19.5081670000,3.4020000000,1.0670000000,14.2570000000,1.2090000000
BlackRock Large Cap Focus Grth K,BlackRock,,F00000ZPXT,20180125,Large Growth,U.S. Equity,Retirement,No,19000102,,No,20191206,Merged,BlackRock Large Cap Focus Growth K,,"24,989,879.3700000000","1,012,212,503.2500000000",16,,Average,,S&P 500 TR USD,,,,,
BlackRock Large Cap Focus Grth R,BlackRock,,FOUSA04AT9,20030103,Large Growth,U.S. Equity,Retirement,No,19000102,,No,20191206,Merged,BlackRock Large Cap Focus Growth Inv A,,"19,244,330.9000000000","1,012,212,503.2500000000",22,4 Stars,Average,,S&P 500 TR USD,20.1787550000,3.9330000000,1.0710000000,14.3100000000,1.2450000000
BlackRock Large Cap Focus Grth Svc,BlackRock,,FOUSA05KA7,20061002,Large Growth,U.S. Equity,S,No,19000102,,No,20191206,Merged,BlackRock Large Cap Focus Growth Inv A,,"3,565,595.0900000000","1,012,212,503.2500000000",20,4 Stars,Average,,S&P 500 TR USD,20.4911220000,4.1720000000,1.0730000000,14.3240000000,1.2620000000
JHFunds2 Fundamental Value NAV,John Hancock,JHFLX,FOUSA05CK3,20051014,Large Blend,U.S. Equity,Other,Yes,20051014,JHFLX,No,20140625,Liquidated,,,"1,011,816,592.0000000000","1,011,816,592.0000000000",77,2 Stars,,,S&P 500 TR USD,,,,,
Nationwide Bond Index B,Nationwide,,FOUSA02U79,20011012,Intermediate Core Bond,Taxable Bond,B,No,19991229,GBXIX,Yes,20140221,Merged,Nationwide Bond Index A,,"123,549.0000000000","1,008,311,479.6600000000",,1 Star,,,BBgBarc US Agg Bond TR USD,," -1.2410000000",0.9890000000,,
Western Asset Mortgage Backed Sec B,Legg Mason,,FOUSA00D4I,19840320,Intermediate Core-Plus Bond,Taxable Bond,B,No,19921106,SGVAX,No,20160503,Merged,Western Asset Mortgage Backed Sec A,,"6,099,230.0000000000","1,006,886,396.6500000000",30,3 Stars,,,BBgBarc US Agg Bond TR USD,,,,,
Invesco American Value B,Invesco,MGAVX,FOUSA00E1X,19950801,Mid-Cap Value,U.S. Equity,B,No,19931018,MSAVX,No,20180126,Merged,Invesco American Value A,,,"1,006,847,436.4900000000",89,2 Stars,,,S&P 500 TR USD,,,,,
Consulting Group Large Cap Value Equity,Morgan Stanley,,FOUSA00FIY,19911118,Large Value,U.S. Equity,No Load,Yes,19911118,,No,20160208,Merged,Morgan Stanley Pathway Large Cap Eq,,"1,006,538,859.0000000000","1,006,538,859.0000000000",84,2 Stars,,,S&P 500 TR USD,,,,,
Principal MidCap Value III A,Principal Funds,PVCAX,F00000T4M8,20140603,Mid-Cap Value,U.S. Equity,A,No,20001206,PLPPX,No,20190415,Merged,Principal MidCap Value I A,,"25,343,042.0200000000","1,005,848,908.0500000000",90,2 Stars,Above Average,,S&P 500 TR USD,5.6194740000," -8.8810000000",1.1610000000,13.3830000000,0.3780000000
